LPI_Rank,LPI_Round_Pick,Player_Name,Position,Pos_Rank,Team,LPI_Predicted_PPG,Pos_Replacement_PPG,Projected_VORP_Per_Game,Projected_Season_VORP,Consensus_ADP_Rank,Consensus_ADP_Round_Pick,LPI_vs_ADP_Diff,Prospective_Grade_at_ADP
149,13.05,Cade Otton,TE,TE24,TB,4.94,6.5682,-1.63,-26.1,190,16.10,41,43
150,13.06,Matthew Golden,WR,WR55,GB,7.07,8.7782,-1.71,-27.4,86,8.02,-64,43
151,13.07,Keon Coleman,WR,WR56,BUF,6.93,8.7782,-1.85,-29.6,127,11.07,-24,54
152,13.08,Rashid Shaheed,WR,WR57,SEA,6.89,8.7782,-1.89,-30.2,136,12.04,-16,55
153,13.09,C.J. Stroud,QB,QB19,HOU,13.31,15.2152,-1.91,-30.6,126,11.06,-27,41
154,13.10,Elijah Arroyo,TE,TE25,SEA,4.55,6.5682,-2.02,-32.3,194,17.02,40,44
155,13.11,Jordan Love,QB,QB20,GB,13.14,15.2152,-2.08,-33.3,129,11.09,-26,41
156,13.12,Christian Kirk,WR,WR58,SF,6.55,8.7782,-2.23,-35.7,153,13.09,-3,57
157,14.01,Pat Freiermuth,TE,TE26,PIT,4.34,6.5682,-2.23,-35.7,195,17.03,38,44
158,14.02,Trevor Lawrence,QB,QB21,JAC,12.81,15.2152,-2.41,-38.6,155,13.11,-3,41
159,14.03,Dalton Schultz,TE,TE27,HOU,4.14,6.5682,-2.43,-38.9,201,17.09,42,45
160,14.04,Trey Benson,RB,RB54,ARI,5.49,7.9497,-2.46,-39.4,141,12.09,-19,51
161,14.05,Tua Tagovailoa,QB,QB22,ATL,12.67,15.2152,-2.55,-40.8,159,14.03,-2,41
162,14.06,Mike Gesicki,TE,TE28,CIN,3.94,6.5682,-2.63,-42.1,202,17.10,40,45
163,14.07,Cam Ward,QB,QB23,TEN,12.56,15.2152,-2.66,-42.6,160,14.04,-3,41
164,14.08,Michael Penix Jr.,QB,QB24,ATL,12.48,15.2152,-2.74,-43.8,164,14.08,0,41
165,14.09,Aaron Rodgers,QB,QB25,PIT,12.43,15.2152,-2.79,-44.6,168,14.12,3,41
166,14.10,Matthew Stafford,QB,QB26,LAR,12.4,15.2152,-2.82,-45.1,170,15.02,4,41
167,14.11,Darren Waller,TE,TE29,,3.75,6.5682,-2.82,-45.1,204,17.12,37,45
168,14.12,Bryce Young,QB,QB27,CAR,12.37,15.2152,-2.85,-45.6,172,15.04,4,41
169,15.01,Sam Darnold,QB,QB28,SEA,12.35,15.2152,-2.87,-45.9,174,15.06,5,41
170,15.02,Geno Smith,QB,QB29,NYJ,12.32,15.2152,-2.9,-46.4,175,15.07,5,41
171,15.03,Shedeur Sanders,QB,QB30,CLE,12.28,15.2152,-2.94,-47.0,203,17.11,32,41
172,15.04,Jaxson Dart,QB,QB31,NYG,12.24,15.2152,-2.98,-47.7,232,20.04,60,41
173,15.05,Ja'Tavion Sanders,TE,TE30,CAR,3.58,6.5682,-2.99,-47.8,263,22.11,90,45
174,15.06,Ollie Gordon II,RB,RB55,MIA,4.93,7.9497,-3.02,-48.3,135,12.03,-39,45
175,15.07,Bhayshul Tuten,RB,RB56,JAC,4.93,7.9497,-3.02,-48.3,143,12.11,-32,45
176,15.08,Dylan Sampson,RB,RB57,CLE,4.93,7.9497,-3.02,-48.3,150,13.06,-26,45
177,15.09,Kareem Hunt,RB,RB58,,4.93,7.9497,-3.02,-48.3,157,14.01,-20,45
178,15.10,Tyler Allgeier,RB,RB59,ARI,4.93,7.9497,-3.02,-48.3,163,14.07,-15,45
179,15.11,Anthony Richardson Sr.,QB,QB32,IND,12.2,15.2152,-3.02,-48.3,241,21.01,62,40
180,15.12,Russell Wilson,QB,QB33,,12.15,15.2152,-3.07,-49.1,249,21.09,69,40
